algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"MergeSorting","entropy | h=0,75 | n=500 | run=1","entropy",0.75,500,1,3854,0,8976,1
"MergeSorting","reverse entropy | h=0,75 | n=500 | run=1","reverse_entropy",0.75,500,1,3839,0,8976,1
"QuickSort","random | n=100 | run=1","random",-1.00,100,1,595,359,2096,7
"QuickSort","entropy | h=0,00 | n=100 | run=1","entropy",0.00,100,1,4950,5049,25245,2
"QuickSort","reverse entropy | h=0,00 | n=100 | run=1","reverse_entropy",0.00,100,1,4950,2549,15245,1
"QuickSort","entropy | h=0,25 | n=100 | run=1","entropy",0.25,100,1,2254,1733,9282,1
"QuickSort","reverse entropy | h=0,25 | n=100 | run=1","reverse_entropy",0.25,100,1,2130,1085,6566,0
"QuickSort","entropy | h=0,50 | n=100 | run=1","entropy",0.50,100,1,1159,383,2763,1
"QuickSort","reverse entropy | h=0,50 | n=100 | run=1","reverse_entropy",0.50,100,1,2480,1217,7434,0
"QuickSort","entropy | h=0,75 | n=100 | run=1","entropy",0.75,100,1,670,348,2129,1
"QuickSort","reverse entropy | h=0,75 | n=100 | run=1","reverse_entropy",0.75,100,1,703,367,2238,0
"QuickSort","random | n=500 | run=1","random",-1.00,500,1,4821,2433,14883,1
"QuickSort","entropy | h=0,00 | n=500 | run=1","entropy",0.00,500,1,124750,125249,626245,49
"QuickSort","reverse entropy | h=0,00 | n=500 | run=1","reverse_entropy",0.00,500,1,124750,62749,376245,18
"QuickSort","entropy | h=0,25 | n=500 | run=1","entropy",0.25,500,1,14481,7692,45684,5
"QuickSort","reverse entropy | h=0,25 | n=500 | run=1","reverse_entropy",0.25,500,1,46937,23592,141766,15
"QuickSort","entropy | h=0,50 | n=500 | run=1","entropy",0.50,500,1,10295,6111,35136,3
"QuickSort","reverse entropy | h=0,50 | n=500 | run=1","reverse_entropy",0.50,500,1,10863,5804,34503,3
"QuickSort","entropy | h=0,75 | n=500 | run=1","entropy",0.75,500,1,5102,2686,16178,0
"QuickSort","reverse entropy | h=0,75 | n=500 | run=1","reverse_entropy",0.75,500,1,5478,3140,18377,1
"BucketSort","random | n=100 | run=1","random",-1.00,100,1,0,200,401,6
"BucketSort","entropy | h=0,00 | n=100 | run=1","entropy",0.00,100,1,0,200,401,0
"BucketSort","reverse entropy | h=0,00 | n=100 | run=1","reverse_entropy",0.00,100,1,0,200,401,0
"BucketSort","entropy | h=0,25 | n=100 | run=1","entropy",0.25,100,1,0,200,401,0
"BucketSort","reverse entropy | h=0,25 | n=100 | run=1","reverse_entropy",0.25,100,1,0,200,401,1
"BucketSort","entropy | h=0,50 | n=100 | run=1","entropy",0.50,100,1,0,200,401,0
"BucketSort","reverse entropy | h=0,50 | n=100 | run=1","reverse_entropy",0.50,100,1,0,200,401,0
"BucketSort","entropy | h=0,75 | n=100 | run=1","entropy",0.75,100,1,0,200,401,0
"BucketSort","reverse entropy | h=0,75 | n=100 | run=1","reverse_entropy",0.75,100,1,0,200,401,0
"BucketSort","random | n=500 | run=1","random",-1.00,500,1,0,1000,2001,1
"BucketSort","entropy | h=0,00 | n=500 | run=1","entropy",0.00,500,1,0,1000,2001,0
"BucketSort","reverse entropy | h=0,00 | n=500 | run=1","reverse_entropy",0.00,500,1,0,1000,2001,0
"BucketSort","entropy | h=0,25 | n=500 | run=1","entropy",0.25,500,1,0,1000,2001,0
"BucketSort","reverse entropy | h=0,25 | n=500 | run=1","reverse_entropy",0.25,500,1,0,1000,2001,1
"BucketSort","entropy | h=0,50 | n=500 | run=1","entropy",0.50,500,1,0,1000,2001,1
"BucketSort","reverse entropy | h=0,50 | n=500 | run=1","reverse_entropy",0.50,500,1,0,1000,2001,1
"BucketSort","entropy | h=0,75 | n=500 | run=1","entropy",0.75,500,1,0,1000,2001,1
"BucketSort","reverse entropy | h=0,75 | n=500 | run=1","reverse_entropy",0.75,500,1,0,1000,2001,0
