algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"CocktailShakerSort","entropy | h=0,25 | n=500 | run=3","entropy",0.25,500,3,7387,3806,22386,1
"CocktailShakerSort","entropy | h=0,25 | n=500 | run=4","entropy",0.25,500,4,6415,3588,20006,1
"CocktailShakerSort","reverse entropy | h=0,25 | n=500 | run=1","reverse_entropy",0.25,500,1,124928,121162,492180,31
"CocktailShakerSort","reverse entropy | h=0,25 | n=500 | run=2","reverse_entropy",0.25,500,2,124950,122086,494072,31
"CocktailShakerSort","reverse entropy | h=0,25 | n=500 | run=3","reverse_entropy",0.25,500,3,124968,122030,493996,30
"CocktailShakerSort","reverse entropy | h=0,25 | n=500 | run=4","reverse_entropy",0.25,500,4,124928,120918,491692,38
"CocktailShakerSort","entropy | h=0,50 | n=500 | run=1","entropy",0.50,500,1,15955,9112,50134,2
"CocktailShakerSort","entropy | h=0,50 | n=500 | run=2","entropy",0.50,500,2,15488,8712,48400,3
"CocktailShakerSort","entropy | h=0,50 | n=500 | run=3","entropy",0.50,500,3,16422,8966,50776,2
"CocktailShakerSort","entropy | h=0,50 | n=500 | run=4","entropy",0.50,500,4,15019,9754,49546,2
"CocktailShakerSort","reverse entropy | h=0,50 | n=500 | run=1","reverse_entropy",0.50,500,1,124662,115954,481232,23
"CocktailShakerSort","reverse entropy | h=0,50 | n=500 | run=2","reverse_entropy",0.50,500,2,124550,114568,478236,22
"CocktailShakerSort","reverse entropy | h=0,50 | n=500 | run=3","reverse_entropy",0.50,500,3,124712,116002,481428,26
"CocktailShakerSort","reverse entropy | h=0,50 | n=500 | run=4","reverse_entropy",0.50,500,4,124488,114788,478552,49
"CocktailShakerSort","entropy | h=0,75 | n=500 | run=1","entropy",0.75,500,1,72835,48048,241766,13
"CocktailShakerSort","entropy | h=0,75 | n=500 | run=2","entropy",0.75,500,2,79095,50712,259614,14
"CocktailShakerSort","entropy | h=0,75 | n=500 | run=3","entropy",0.75,500,3,87187,57076,288526,15
"CocktailShakerSort","entropy | h=0,75 | n=500 | run=4","entropy",0.75,500,4,77259,49572,253662,13
"CocktailShakerSort","reverse entropy | h=0,75 | n=500 | run=1","reverse_entropy",0.75,500,1,106568,71884,356904,18
"CocktailShakerSort","reverse entropy | h=0,75 | n=500 | run=2","reverse_entropy",0.75,500,2,105000,71646,353292,18
"CocktailShakerSort","reverse entropy | h=0,75 | n=500 | run=3","reverse_entropy",0.75,500,3,103987,70942,349858,31
"CocktailShakerSort","reverse entropy | h=0,75 | n=500 | run=4","reverse_entropy",0.75,500,4,108619,75198,367634,17
"CocktailShakerSort","random | n=1000 | run=1","random",-1.00,1000,1,384319,251818,1272274,83
"CocktailShakerSort","random | n=1000 | run=2","random",-1.00,1000,2,381415,253671,1270172,86
"CocktailShakerSort","random | n=1000 | run=3","random",-1.00,1000,3,374499,251435,1251868,77
"CocktailShakerSort","random | n=1000 | run=4","random",-1.00,1000,4,371475,251182,1245314,83
"CocktailShakerSort","entropy | h=0,00 | n=1000 | run=1","entropy",0.00,1000,1,999,0,1998,0
"CocktailShakerSort","entropy | h=0,00 | n=1000 | run=2","entropy",0.00,1000,2,999,0,1998,0
"CocktailShakerSort","entropy | h=0,00 | n=1000 | run=3","entropy",0.00,1000,3,999,0,1998,0
"CocktailShakerSort","entropy | h=0,00 | n=1000 | run=4","entropy",0.00,1000,4,999,0,1998,0
"CocktailShakerSort","reverse entropy | h=0,00 | n=1000 | run=1","reverse_entropy",0.00,1000,1,500000,499500,1999000,164
"CocktailShakerSort","reverse entropy | h=0,00 | n=1000 | run=2","reverse_entropy",0.00,1000,2,500000,499500,1999000,115
"CocktailShakerSort","reverse entropy | h=0,00 | n=1000 | run=3","reverse_entropy",0.00,1000,3,500000,499500,1999000,158
"CocktailShakerSort","reverse entropy | h=0,00 | n=1000 | run=4","reverse_entropy",0.00,1000,4,500000,499500,1999000,119
"CocktailShakerSort","entropy | h=0,25 | n=1000 | run=1","entropy",0.25,1000,1,24687,11739,72852,4
"CocktailShakerSort","entropy | h=0,25 | n=1000 | run=2","entropy",0.25,1000,2,20779,12451,66460,4
"CocktailShakerSort","entropy | h=0,25 | n=1000 | run=3","entropy",0.25,1000,3,24687,16071,81516,5
"CocktailShakerSort","entropy | h=0,25 | n=1000 | run=4","entropy",0.25,1000,4,24687,15759,80892,5
"CocktailShakerSort","reverse entropy | h=0,25 | n=1000 | run=1","reverse_entropy",0.25,1000,1,499712,482857,1965138,153
"CocktailShakerSort","reverse entropy | h=0,25 | n=1000 | run=2","reverse_entropy",0.25,1000,2,499800,486627,1972854,106
"CocktailShakerSort","reverse entropy | h=0,25 | n=1000 | run=3","reverse_entropy",0.25,1000,3,499758,486377,1972270,150
"CocktailShakerSort","reverse entropy | h=0,25 | n=1000 | run=4","reverse_entropy",0.25,1000,4,499712,485499,1970422,149
