algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"BubbleSort","reverse entropy | h=0,25 | n=500 | run=2","reverse_entropy",0.25,500,2,124750,122156,493812,23
"BubbleSort","reverse entropy | h=0,25 | n=500 | run=3","reverse_entropy",0.25,500,3,124750,120294,490088,25
"BubbleSort","reverse entropy | h=0,25 | n=500 | run=4","reverse_entropy",0.25,500,4,124750,121004,491508,24
"BubbleSort","entropy | h=0,50 | n=500 | run=1","entropy",0.50,500,1,116365,7918,248566,12
"BubbleSort","entropy | h=0,50 | n=500 | run=2","entropy",0.50,500,2,124315,9766,268162,17
"BubbleSort","entropy | h=0,50 | n=500 | run=3","entropy",0.50,500,3,121669,9202,261742,35
"BubbleSort","entropy | h=0,50 | n=500 | run=4","entropy",0.50,500,4,122670,8614,262568,19
"BubbleSort","reverse entropy | h=0,50 | n=500 | run=1","reverse_entropy",0.50,500,1,124750,115190,479880,27
"BubbleSort","reverse entropy | h=0,50 | n=500 | run=2","reverse_entropy",0.50,500,2,124750,114712,478924,26
"BubbleSort","reverse entropy | h=0,50 | n=500 | run=3","reverse_entropy",0.50,500,3,124750,116898,483296,26
"BubbleSort","reverse entropy | h=0,50 | n=500 | run=4","reverse_entropy",0.50,500,4,124750,117382,484264,50
"BubbleSort","entropy | h=0,75 | n=500 | run=1","entropy",0.75,500,1,124659,54282,357882,24
"BubbleSort","entropy | h=0,75 | n=500 | run=2","entropy",0.75,500,2,124695,53112,355614,24
"BubbleSort","entropy | h=0,75 | n=500 | run=3","entropy",0.75,500,3,123889,53316,354410,23
"BubbleSort","entropy | h=0,75 | n=500 | run=4","entropy",0.75,500,4,124084,53232,354632,22
"BubbleSort","reverse entropy | h=0,75 | n=500 | run=1","reverse_entropy",0.75,500,1,124744,73344,396176,25
"BubbleSort","reverse entropy | h=0,75 | n=500 | run=2","reverse_entropy",0.75,500,2,124254,72770,394048,26
"BubbleSort","reverse entropy | h=0,75 | n=500 | run=3","reverse_entropy",0.75,500,3,124705,72052,393514,28
"BubbleSort","reverse entropy | h=0,75 | n=500 | run=4","reverse_entropy",0.75,500,4,124684,68146,385660,25
"BubbleSort","random | n=1000 | run=1","random",-1.00,1000,1,498324,248217,1493082,114
"BubbleSort","random | n=1000 | run=2","random",-1.00,1000,2,499004,241539,1481086,85
"BubbleSort","random | n=1000 | run=3","random",-1.00,1000,3,498225,248314,1493078,90
"BubbleSort","random | n=1000 | run=4","random",-1.00,1000,4,498069,244045,1484228,134
"BubbleSort","entropy | h=0,00 | n=1000 | run=1","entropy",0.00,1000,1,999,0,1998,0
"BubbleSort","entropy | h=0,00 | n=1000 | run=2","entropy",0.00,1000,2,999,0,1998,0
"BubbleSort","entropy | h=0,00 | n=1000 | run=3","entropy",0.00,1000,3,999,0,1998,0
"BubbleSort","entropy | h=0,00 | n=1000 | run=4","entropy",0.00,1000,4,999,0,1998,0
"BubbleSort","reverse entropy | h=0,00 | n=1000 | run=1","reverse_entropy",0.00,1000,1,499500,499500,1998000,111
"BubbleSort","reverse entropy | h=0,00 | n=1000 | run=2","reverse_entropy",0.00,1000,2,499500,499500,1998000,112
"BubbleSort","reverse entropy | h=0,00 | n=1000 | run=3","reverse_entropy",0.00,1000,3,499500,499500,1998000,172
"BubbleSort","reverse entropy | h=0,00 | n=1000 | run=4","reverse_entropy",0.00,1000,4,499500,499500,1998000,150
"BubbleSort","entropy | h=0,25 | n=1000 | run=1","entropy",0.25,1000,1,453747,16097,939688,61
"BubbleSort","entropy | h=0,25 | n=1000 | run=2","entropy",0.25,1000,2,437019,11369,896776,55
"BubbleSort","entropy | h=0,25 | n=1000 | run=3","entropy",0.25,1000,3,489770,13585,1006710,60
"BubbleSort","entropy | h=0,25 | n=1000 | run=4","entropy",0.25,1000,4,496097,15431,1023056,61
"BubbleSort","reverse entropy | h=0,25 | n=1000 | run=1","reverse_entropy",0.25,1000,1,499500,484843,1968686,191
"BubbleSort","reverse entropy | h=0,25 | n=1000 | run=2","reverse_entropy",0.25,1000,2,499500,484741,1968482,107
"BubbleSort","reverse entropy | h=0,25 | n=1000 | run=3","reverse_entropy",0.25,1000,3,499500,485791,1970582,111
"BubbleSort","reverse entropy | h=0,25 | n=1000 | run=4","reverse_entropy",0.25,1000,4,499499,485567,1970132,115
"BubbleSort","entropy | h=0,50 | n=1000 | run=1","entropy",0.50,1000,1,497484,38767,1072502,148
"BubbleSort","entropy | h=0,50 | n=1000 | run=2","entropy",0.50,1000,2,496097,32053,1056300,58
"BubbleSort","entropy | h=0,50 | n=1000 | run=3","entropy",0.50,1000,3,498069,38611,1073360,61
"BubbleSort","entropy | h=0,50 | n=1000 | run=4","entropy",0.50,1000,4,490854,39827,1061362,53
"BubbleSort","reverse entropy | h=0,50 | n=1000 | run=1","reverse_entropy",0.50,1000,1,499500,462555,1924110,131
"BubbleSort","reverse entropy | h=0,50 | n=1000 | run=2","reverse_entropy",0.50,1000,2,499500,464957,1928914,137
"BubbleSort","reverse entropy | h=0,50 | n=1000 | run=3","reverse_entropy",0.50,1000,3,499500,464755,1928510,129
"BubbleSort","reverse entropy | h=0,50 | n=1000 | run=4","reverse_entropy",0.50,1000,4,499500,462599,1924198,120
"BubbleSort","entropy | h=0,75 | n=1000 | run=1","entropy",0.75,1000,1,498939,201198,1400274,129
"BubbleSort","entropy | h=0,75 | n=1000 | run=2","entropy",0.75,1000,2,499290,213318,1425216,72
"BubbleSort","entropy | h=0,75 | n=1000 | run=3","entropy",0.75,1000,3,499094,205718,1409624,69
"BubbleSort","entropy | h=0,75 | n=1000 | run=4","entropy",0.75,1000,4,499445,214240,1427370,98
"BubbleSort","reverse entropy | h=0,75 | n=1000 | run=1","reverse_entropy",0.75,1000,1,499500,288652,1576304,113
"BubbleSort","reverse entropy | h=0,75 | n=1000 | run=2","reverse_entropy",0.75,1000,2,499455,294826,1588562,113
"BubbleSort","reverse entropy | h=0,75 | n=1000 | run=3","reverse_entropy",0.75,1000,3,499494,287830,1574648,123
"BubbleSort","reverse entropy | h=0,75 | n=1000 | run=4","reverse_entropy",0.75,1000,4,499485,292864,1584698,181
