algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"QuickSort","reverse entropy | h=0,25 | n=500 | run=3","reverse_entropy",0.25,500,3,16472,8541,42558,3
"QuickSort","reverse entropy | h=0,25 | n=500 | run=4","reverse_entropy",0.25,500,4,32334,16626,82671,6
"QuickSort","entropy | h=0,50 | n=500 | run=1","entropy",0.50,500,1,16318,6337,35712,2
"QuickSort","entropy | h=0,50 | n=500 | run=2","entropy",0.50,500,2,7330,3582,18470,1
"QuickSort","entropy | h=0,50 | n=500 | run=3","entropy",0.50,500,3,7640,3645,18976,2
"QuickSort","entropy | h=0,50 | n=500 | run=4","entropy",0.50,500,4,6425,2532,14406,1
"QuickSort","reverse entropy | h=0,50 | n=500 | run=1","reverse_entropy",0.50,500,1,9461,4718,24041,2
"QuickSort","reverse entropy | h=0,50 | n=500 | run=2","reverse_entropy",0.50,500,2,7981,4289,21266,1
"QuickSort","reverse entropy | h=0,50 | n=500 | run=3","reverse_entropy",0.50,500,3,8432,4107,21176,2
"QuickSort","reverse entropy | h=0,50 | n=500 | run=4","reverse_entropy",0.50,500,4,6454,3736,18082,1
"QuickSort","entropy | h=0,75 | n=500 | run=1","entropy",0.75,500,1,4779,2332,12110,1
"QuickSort","entropy | h=0,75 | n=500 | run=2","entropy",0.75,500,2,5671,2955,14865,1
"QuickSort","entropy | h=0,75 | n=500 | run=3","entropy",0.75,500,3,4946,2537,12899,0
"QuickSort","entropy | h=0,75 | n=500 | run=4","entropy",0.75,500,4,4380,2358,11781,1
"QuickSort","reverse entropy | h=0,75 | n=500 | run=1","reverse_entropy",0.75,500,1,5542,2869,14481,1
"QuickSort","reverse entropy | h=0,75 | n=500 | run=2","reverse_entropy",0.75,500,2,4996,2507,12847,1
"QuickSort","reverse entropy | h=0,75 | n=500 | run=3","reverse_entropy",0.75,500,3,5886,3367,16315,1
"QuickSort","reverse entropy | h=0,75 | n=500 | run=4","reverse_entropy",0.75,500,4,4646,2571,12702,1
"QuickSort","random | n=1000 | run=1","random",-1.00,1000,1,11719,6790,32751,2
"QuickSort","random | n=1000 | run=2","random",-1.00,1000,2,10689,5060,26547,2
