algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"InsertionSorting","reverse entropy | h=0,25 | n=500 | run=1","reverse_entropy",0.25,500,1,121935,121470,486810,36
"InsertionSorting","reverse entropy | h=0,25 | n=500 | run=2","reverse_entropy",0.25,500,2,120773,120278,482102,30
"InsertionSorting","reverse entropy | h=0,25 | n=500 | run=3","reverse_entropy",0.25,500,3,122059,121602,487322,30
"InsertionSorting","reverse entropy | h=0,25 | n=500 | run=4","reverse_entropy",0.25,500,4,121261,120856,484234,30
"InsertionSorting","entropy | h=0,50 | n=500 | run=1","entropy",0.50,500,1,10033,9534,39134,3
"InsertionSorting","entropy | h=0,50 | n=500 | run=2","entropy",0.50,500,2,9593,9094,37374,2
"InsertionSorting","entropy | h=0,50 | n=500 | run=3","entropy",0.50,500,3,11431,10932,44726,3
"InsertionSorting","entropy | h=0,50 | n=500 | run=4","entropy",0.50,500,4,10373,9874,40494,3
"InsertionSorting","reverse entropy | h=0,50 | n=500 | run=1","reverse_entropy",0.50,500,1,115701,115224,461850,38
"InsertionSorting","reverse entropy | h=0,50 | n=500 | run=2","reverse_entropy",0.50,500,2,115567,115072,461278,21
"InsertionSorting","reverse entropy | h=0,50 | n=500 | run=3","reverse_entropy",0.50,500,3,116405,115944,464698,21
"InsertionSorting","reverse entropy | h=0,50 | n=500 | run=4","reverse_entropy",0.50,500,4,116677,116196,465746,21
"InsertionSorting","entropy | h=0,75 | n=500 | run=1","entropy",0.75,500,1,54603,54110,217426,11
"InsertionSorting","entropy | h=0,75 | n=500 | run=2","entropy",0.75,500,2,51143,50646,203578,13
"InsertionSorting","entropy | h=0,75 | n=500 | run=3","entropy",0.75,500,3,55859,55368,222454,26
"InsertionSorting","entropy | h=0,75 | n=500 | run=4","entropy",0.75,500,4,54556,54064,217240,9
"InsertionSorting","reverse entropy | h=0,75 | n=500 | run=1","reverse_entropy",0.75,500,1,72128,71634,287524,13
"InsertionSorting","reverse entropy | h=0,75 | n=500 | run=2","reverse_entropy",0.75,500,2,71781,71284,286130,12
"InsertionSorting","reverse entropy | h=0,75 | n=500 | run=3","reverse_entropy",0.75,500,3,71767,71274,286082,13
"InsertionSorting","reverse entropy | h=0,75 | n=500 | run=4","reverse_entropy",0.75,500,4,73575,73082,293314,13
"InsertionSorting","random | n=1000 | run=1","random",-1.00,1000,1,251148,250157,1002610,73
"InsertionSorting","random | n=1000 | run=2","random",-1.00,1000,2,255566,254574,1020280,59
"InsertionSorting","random | n=1000 | run=3","random",-1.00,1000,3,247794,246807,989202,85
"InsertionSorting","random | n=1000 | run=4","random",-1.00,1000,4,258877,257884,1033522,66
