algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"CombSort","reverse entropy | h=0,25 | n=500 | run=4","reverse_entropy",0.25,500,4,8871,1172,20086,1
"CombSort","entropy | h=0,50 | n=500 | run=1","entropy",0.50,500,1,8871,1134,20010,1
"CombSort","entropy | h=0,50 | n=500 | run=2","entropy",0.50,500,2,9370,1240,21220,2
"CombSort","entropy | h=0,50 | n=500 | run=3","entropy",0.50,500,3,9370,1154,21048,2
"CombSort","entropy | h=0,50 | n=500 | run=4","entropy",0.50,500,4,9370,1140,21020,1
"CombSort","reverse entropy | h=0,50 | n=500 | run=1","reverse_entropy",0.50,500,1,8871,1468,20678,1
"CombSort","reverse entropy | h=0,50 | n=500 | run=2","reverse_entropy",0.50,500,2,8871,1406,20554,1
"CombSort","reverse entropy | h=0,50 | n=500 | run=3","reverse_entropy",0.50,500,3,8871,1346,20434,2
"CombSort","reverse entropy | h=0,50 | n=500 | run=4","reverse_entropy",0.50,500,4,9370,1448,21636,2
"CombSort","entropy | h=0,75 | n=500 | run=1","entropy",0.75,500,1,9869,1798,23334,2
"CombSort","entropy | h=0,75 | n=500 | run=2","entropy",0.75,500,2,9370,1780,22300,11
"CombSort","entropy | h=0,75 | n=500 | run=3","entropy",0.75,500,3,8871,1828,21398,1
"CombSort","entropy | h=0,75 | n=500 | run=4","entropy",0.75,500,4,9869,1820,23378,2
"CombSort","reverse entropy | h=0,75 | n=500 | run=1","reverse_entropy",0.75,500,1,9370,1942,22624,2
"CombSort","reverse entropy | h=0,75 | n=500 | run=2","reverse_entropy",0.75,500,2,9869,1894,23526,2
"CombSort","reverse entropy | h=0,75 | n=500 | run=3","reverse_entropy",0.75,500,3,9370,1896,22532,2
"CombSort","reverse entropy | h=0,75 | n=500 | run=4","reverse_entropy",0.75,500,4,9370,2002,22744,2
"CombSort","random | n=1000 | run=1","random",-1.00,1000,1,22709,4494,54406,3
"CombSort","random | n=1000 | run=2","random",-1.00,1000,2,21710,4416,52252,3
"CombSort","random | n=1000 | run=3","random",-1.00,1000,3,23708,4515,56446,4
"CombSort","random | n=1000 | run=4","random",-1.00,1000,4,22709,4430,54278,3
"CombSort","entropy | h=0,00 | n=1000 | run=1","entropy",0.00,1000,1,18713,0,37426,2
"CombSort","entropy | h=0,00 | n=1000 | run=2","entropy",0.00,1000,2,18713,0,37426,9
"CombSort","entropy | h=0,00 | n=1000 | run=3","entropy",0.00,1000,3,18713,0,37426,2
"CombSort","entropy | h=0,00 | n=1000 | run=4","entropy",0.00,1000,4,18713,0,37426,2
"CombSort","reverse entropy | h=0,00 | n=1000 | run=1","reverse_entropy",0.00,1000,1,19712,1582,42588,2
"CombSort","reverse entropy | h=0,00 | n=1000 | run=2","reverse_entropy",0.00,1000,2,19712,1582,42588,2
"CombSort","reverse entropy | h=0,00 | n=1000 | run=3","reverse_entropy",0.00,1000,3,19712,1582,42588,2
"CombSort","reverse entropy | h=0,00 | n=1000 | run=4","reverse_entropy",0.00,1000,4,19712,1582,42588,2
"CombSort","entropy | h=0,25 | n=1000 | run=1","entropy",0.25,1000,1,21710,2377,48174,2
"CombSort","entropy | h=0,25 | n=1000 | run=2","entropy",0.25,1000,2,21710,2127,47674,2
"CombSort","entropy | h=0,25 | n=1000 | run=3","entropy",0.25,1000,3,21710,2019,47458,3
"CombSort","entropy | h=0,25 | n=1000 | run=4","entropy",0.25,1000,4,21710,2313,48046,3
"CombSort","reverse entropy | h=0,25 | n=1000 | run=1","reverse_entropy",0.25,1000,1,21710,3033,49486,2
"CombSort","reverse entropy | h=0,25 | n=1000 | run=2","reverse_entropy",0.25,1000,2,21710,3015,49450,2
"CombSort","reverse entropy | h=0,25 | n=1000 | run=3","reverse_entropy",0.25,1000,3,21710,3149,49718,2
"CombSort","reverse entropy | h=0,25 | n=1000 | run=4","reverse_entropy",0.25,1000,4,21710,3107,49634,2
"CombSort","entropy | h=0,50 | n=1000 | run=1","entropy",0.50,1000,1,21710,3131,49682,3
"CombSort","entropy | h=0,50 | n=1000 | run=2","entropy",0.50,1000,2,21710,3053,49526,2
"CombSort","entropy | h=0,50 | n=1000 | run=3","entropy",0.50,1000,3,23708,3153,53722,2
"CombSort","entropy | h=0,50 | n=1000 | run=4","entropy",0.50,1000,4,21710,2993,49406,2
